postcode	price
E1	475000
E10	365000
E11	407000
E12	285050
E13	296000
E14	435000
E15	355000
E16	382000
E17	399997,5
E18	405000
E1W	590000
E2	470000
E20	493000
E3	385000
E4	375000
E5	440000
E6	285000
E7	340000
E8	500000
E9	425000
EC1A	807500
EC1M	830000
EC1N	834000
EC1R	800000
EC1V	680000
EC1Y	677500
EC2A	857500
EC2M	605000
EC2N	5637500
EC2P	82500
EC2R	16500000
EC2V	4200000
EC2Y	825000
EC3A	635000
EC3M	5530000
EC3N	650000
EC3R	865000
EC3V	13100000
EC4A	960000
EC4M	498600
EC4N	2000000
EC4R	622416,5
EC4V	673597,5
EC4Y	900000
EN3	633500
EN4	391250
EN5	345000
IG8	350000
N1	617500
N10	595000
N11	430000
N12	455000
N13	430000
N14	525000
N15	400000
N16	500000
N17	330000
N18	288000
N19	491000
N1C	1050000
N2	550500
N20	540000
N21	525000
N22	421578,5
N3	550000
N4	492807,5
N5	620000
N6	750000
N7	485000
N8	505000
N9	285000
NW1	715000
NW10	440250
NW11	790000
NW2	460000
NW3	900000
NW4	440000
NW5	620000
NW6	610000
NW7	565000
NW8	850000
NW9	363700
SE1	640000
SE10	475000
SE11	475000
SE12	350000
SE13	350000
SE14	339500
SE15	420000
SE16	445000
SE17	465000
SE18	320000
SE19	362000
SE2	300000
SE20	325000
SE21	555000
SE22	538975
SE23	411500
SE24	565000
SE25	285000
SE26	380000
SE27	420000
SE28	240000
SE3	455000
SE4	440000
SE5	420000
SE6	350000
SE7	355000
SE8	400000
SE9	350000
SW1	3300000
SW10	1002502,5
SW11	710000
SW12	620000
SW13	1070000
SW14	825000
SW15	575000
SW16	395000
SW17	510000
SW18	577500
SW19	520000
SW1A	3425000
SW1E	1585000
SW1H	1163750
SW1P	1102500
SW1V	737500
SW1W	1457500
SW1X	2689927
SW1Y	2500000
SW2	459925
SW20	576450
SW3	1425000
SW4	580000
SW5	912500
SW6	838750
SW7	1700000
SW8	600000
SW9	456000
TW8	429950
W10	625000
W11	1050000
W12	587000
W13	560000
W14	766500
W1A	65455000
W1B	2464946
W1C	14245961
W1D	779000
W1F	1380000
W1G	1447500
W1H	1165000
W1J	2000000
W1K	2775000
W1N	1718500
W1S	2350000
W1T	1360000
W1U	1300000
W1V	19391600
W1W	950000
W2	859750
W3	491000
W4	719999,5
W5	565000
W6	720000
W7	473000
W8	1722500
W9	630000
WC1A	1818500
WC1B	1092000
WC1E	812550
WC1H	437000
WC1N	683900
WC1R	820000
WC1V	1100000
WC1X	690000
WC2A	1037500
WC2B	860000
WC2E	1600000
WC2H	979000
WC2N	1180000
WC2R	1936250
nan	141596
